title,url,search_keyword,company,source_type,source_platform,content,collected_at
영어회화앱 말해보카 장점 단점 정리,https://blog.naver.com/influencer33/224149160017,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:51.465602
스픽 vs 말해보카 가격/효과 비교 및 1월 19일 '포기의 날' 극복법,https://blog.naver.com/rivertown2024/224136432192,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:51.946038
"말해보카 3개월 후기, 단어 암기 해보고 바꾼 공부 방향 (할인 정보)",https://blog.naver.com/sobin90/224145528178,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:52.000779
말해보카 일주일 후기 | 일주일 무료라던데 그냥 구독 결제 완료,https://blog.naver.com/gtdt_ten/224142020092,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:52.063878
블로그명을 못 정하겠군요,https://blog.naver.com/019ellen,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:52.105609
회화와 리스닝을 한번에 잡을 수 있는 영어어플 | 말해보카 | 영단어 공부 어플,https://blog.naver.com/019ellen/224138317679,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:52.134569
[영어 독학하기] 영단어 공부는 말해보카,https://blog.naver.com/cicionthetop/224138435024,말해보카,malhae,blog,naver_blog,,2026-01-18T14:16:52.203521
말해보카 ㅣ 내돈내산 3개월 실사용 영어공부 후기,https://blog.naver.com/tttoriii/224129070892,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.414500
아카이빙 - greenary,https://blog.naver.com/suminchl0,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.455818
말해보카 영어공부 앱 내돈내산 1년 사용 후기,https://blog.naver.com/suminchl0/224116435097,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.486292
"영어 공부 말해보카 영어 앱 추천
주주
네이버 블로그",http://blog.naver.com/rubl0916/223670318790,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.519733
"영어회화, 일상에 녹아들고 싶다면 [말해보카] 어플로 시작 어때요?
베리
네이버 블로그",http://blog.naver.com/lo_bella/223386044301,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.531482
"[말해보카] 무료체험 일주일 사용기 / 영어회화 어플 SayVoca / 영어 덕후 마음에 쏙 든 어플
째째파리
네이버 블로그",http://blog.naver.com/ssss33ssss/223317014421,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.545081
"영어 공부혼자하기 어플 말해보카 영어앱 프리미엄 멤버쉽 솔직후기
펭귄
네이버 블로그",http://blog.naver.com/zuzu0_0/223782273214,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.559412
"영어 공부 앱 말해보카 10개월 사용 후기
모닝빵
네이버 블로그",http://blog.naver.com/mimi30419/223628633744,말해보카 영어,malhae,blog,naver_blog,,2026-01-18T14:17:09.572243
"내돈내산 말해보카 후기, 스픽과 뭐가 다를까?
메이브
네이버 블로그",http://blog.naver.com/wonn_21/223113198873,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.741442
"[말해보카] - 4년 6개월차 후기
생각발전소
네이버 블로그",http://blog.naver.com/haba1216/224016408845,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.754123
"말해보카 앱 후기 상위 8.93%까지/ 가격
이야기꾼
네이버 블로그",http://blog.naver.com/hahaaa12/223093961575,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.765575
"[영어 앱 추천] 말해보카 1년 개근후기
로지빈
네이버 블로그",http://blog.naver.com/rosiebi/223322379100,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.777714
"영어단어 암기어플 말해보카 프리미엄 찐후기
고고sera
네이버 블로그",http://blog.naver.com/gogosera1/223137206859,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.789254
"[내돈내산] 말해보카 -2달 꾸준히 해본 후기!
카이아
네이버 블로그",http://blog.naver.com/kaia_life/223820193453,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.800620
"말해보카 영어공부어플 간단후기 (내돈내산)
다우니향
네이버 블로그",http://blog.naver.com/happilyeverafter__-/222619276433,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.811472
"[1000일 동안~~~ 말해보카 했나여~~] 말해보카 찐 이용자 후기
지니쓰
네이버 블로그",http://blog.naver.com/ckdals9224/223669921956,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.822541
"말해보카 사용 후기_2025년 새해 목표 영어 공부 추천, AI 영어 어플 말해보카 어휘 문법 리스닝 학습 후기
띠뚜
네이버 블로그",http://blog.naver.com/joy_happy1045/223735516166,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.834358
"‘말해보카’ 내돈내쓰 n일차 후기
쥬별
네이버 블로그",http://blog.naver.com/cacao7131/222602204528,말해보카 후기,malhae,blog,naver_blog,,2026-01-18T14:17:24.863820
